Date,Currency,Exchange,Sql Date Format
01-12-2015,EUR,0.8472,01-12-2015
01-12-2015,GBP,0.66,01-12-2015
13-01-2015,USD,1,13-01-2015
13-01-2015,CAD,1.1966,13-01-2015
13-01-2015,AUD,1.2257,13-01-2015
13-01-2015,EUR,0.8488,13-01-2015
13-01-2015,GBP,0.6592,13-01-2015
14-01-2015,USD,1,14-01-2015
14-01-2015,CAD,1.1965,14-01-2015
14-01-2015,AUD,1.2291,14-01-2015
14-01-2015,EUR,0.8493,14-01-2015
14-01-2015,GBP,0.6584,14-01-2015
15-01-2015,USD,1,15-01-2015
15-01-2015,CAD,1.1834,15-01-2015
15-01-2015,AUD,1.208,15-01-2015
15-01-2015,EUR,0.8541,15-01-2015
15-01-2015,GBP,0.6553,15-01-2015
16-01-2015,USD,1,16-01-2015
16-01-2015,CAD,1.2035,16-01-2015
16-01-2015,AUD,1.2179,16-01-2015
16-01-2015,EUR,0.863,16-01-2015
16-01-2015,GBP,0.659,16-01-2015
17-01-2015,USD,1,17-01-2015
17-01-2015,CAD,1.2035,17-01-2015
17-01-2015,AUD,1.2179,17-01-2015
17-01-2015,EUR,0.863,17-01-2015
17-01-2015,GBP,0.659,17-01-2015
18-01-2015,USD,1,18-01-2015
18-01-2015,CAD,1.2035,18-01-2015
18-01-2015,AUD,1.2179,18-01-2015
18-01-2015,EUR,0.863,18-01-2015
18-01-2015,GBP,0.659,18-01-2015
19-01-2015,USD,1,19-01-2015
19-01-2015,CAD,1.1983,19-01-2015
19-01-2015,AUD,1.2179,19-01-2015
19-01-2015,EUR,0.8617,19-01-2015
19-01-2015,GBP,0.6604,19-01-2015
20-01-2015,USD,1,20-01-2015
20-01-2015,CAD,1.2013,20-01-2015
20-01-2015,AUD,1.2197,20-01-2015
20-01-2015,EUR,0.8636,20-01-2015
20-01-2015,GBP,0.6596,20-01-2015
21-01-2015,USD,1,21-01-2015
21-01-2015,CAD,1.2075,21-01-2015
21-01-2015,AUD,1.2174,21-01-2015
21-01-2015,EUR,0.8626,21-01-2015
21-01-2015,GBP,0.6617,21-01-2015
22-01-2015,USD,1,22-01-2015
22-01-2015,CAD,1.2354,22-01-2015
22-01-2015,AUD,1.2308,22-01-2015
22-01-2015,EUR,0.8607,22-01-2015
22-01-2015,GBP,0.6579,22-01-2015
23-01-2015,USD,1,23-01-2015
23-01-2015,CAD,1.2446,23-01-2015
23-01-2015,AUD,1.2653,23-01-2015
23-01-2015,EUR,0.893,23-01-2015
23-01-2015,GBP,0.6674,23-01-2015
24-01-2015,USD,1,24-01-2015
24-01-2015,CAD,1.2446,24-01-2015
24-01-2015,AUD,1.2653,24-01-2015
24-01-2015,EUR,0.893,24-01-2015
24-01-2015,GBP,0.6674,24-01-2015
25-01-2015,USD,1,25-01-2015
25-01-2015,CAD,1.2446,25-01-2015
25-01-2015,AUD,1.2653,25-01-2015
25-01-2015,EUR,0.893,25-01-2015
25-01-2015,GBP,0.6674,25-01-2015
26-01-2015,USD,1,26-01-2015
26-01-2015,CAD,1.2459,26-01-2015
26-01-2015,AUD,1.2653,26-01-2015
26-01-2015,EUR,0.8894,26-01-2015
26-01-2015,GBP,0.6661,26-01-2015
27-01-2015,USD,1,27-01-2015
27-01-2015,CAD,1.2458,27-01-2015
27-01-2015,AUD,1.2589,27-01-2015
27-01-2015,EUR,0.8845,27-01-2015
27-01-2015,GBP,0.6609,27-01-2015
28-01-2015,USD,1,28-01-2015
28-01-2015,CAD,1.2421,28-01-2015
28-01-2015,AUD,1.2548,28-01-2015
28-01-2015,EUR,0.8815,28-01-2015
28-01-2015,GBP,0.6581,28-01-2015
29-01-2015,USD,1,29-01-2015
29-01-2015,CAD,1.2531,29-01-2015
29-01-2015,AUD,1.2846,29-01-2015
29-01-2015,EUR,0.8838,29-01-2015
29-01-2015,GBP,0.6608,29-01-2015
30-01-2015,USD,1,30-01-2015
30-01-2015,CAD,1.267,30-01-2015
30-01-2015,AUD,1.2857,30-01-2015
30-01-2015,EUR,0.8846,30-01-2015
30-01-2015,GBP,0.6644,30-01-2015
31-01-2015,USD,1,31-01-2015
31-01-2015,CAD,1.267,31-01-2015
31-01-2015,AUD,1.2857,31-01-2015
31-01-2015,EUR,0.8846,31-01-2015
31-01-2015,GBP,0.6644,31-01-2015
02-01-2015,USD,1,02-01-2015
02-01-2015,CAD,1.267,02-01-2015
02-01-2015,AUD,1.2857,02-01-2015
02-01-2015,EUR,0.8846,02-01-2015
02-01-2015,GBP,0.6644,02-01-2015
02-02-2015,USD,1,02-02-2015
02-02-2015,CAD,1.2672,02-02-2015
02-02-2015,AUD,1.2841,02-02-2015
02-02-2015,EUR,0.8842,02-02-2015
02-02-2015,GBP,0.6654,02-02-2015
02-03-2015,USD,1,02-03-2015
02-03-2015,CAD,1.2584,02-03-2015
02-03-2015,AUD,1.3009,02-03-2015
02-03-2015,EUR,0.879,02-03-2015
02-03-2015,GBP,0.6628,02-03-2015
02-04-2015,USD,1,02-04-2015
02-04-2015,CAD,1.2452,02-04-2015
02-04-2015,AUD,1.2862,02-04-2015
02-04-2015,EUR,0.8737,02-04-2015
02-04-2015,GBP,0.6566,02-04-2015
02-05-2015,USD,1,02-05-2015
02-05-2015,CAD,1.2524,02-05-2015
02-05-2015,AUD,1.281,02-05-2015
02-05-2015,EUR,0.8764,02-05-2015
02-05-2015,GBP,0.6557,02-05-2015
02-06-2015,USD,1,02-06-2015
02-06-2015,CAD,1.2445,02-06-2015
02-06-2015,AUD,1.273,02-06-2015
02-06-2015,EUR,0.8736,02-06-2015
02-06-2015,GBP,0.6528,02-06-2015
02-07-2015,USD,1,02-07-2015
02-07-2015,CAD,1.2445,02-07-2015
02-07-2015,AUD,1.273,02-07-2015
02-07-2015,EUR,0.8736,02-07-2015
02-07-2015,GBP,0.6528,02-07-2015
02-08-2015,USD,1,02-08-2015
02-08-2015,CAD,1.2445,02-08-2015
02-08-2015,AUD,1.273,02-08-2015
02-08-2015,EUR,0.8736,02-08-2015
02-08-2015,GBP,0.6528,02-08-2015
02-09-2015,USD,1,02-09-2015
02-09-2015,CAD,1.25,02-09-2015
02-09-2015,AUD,1.2798,02-09-2015
02-09-2015,EUR,0.8869,02-09-2015
02-09-2015,GBP,0.6576,02-09-2015
02-10-2015,USD,1,02-10-2015
02-10-2015,CAD,1.2471,02-10-2015
02-10-2015,AUD,1.2855,02-10-2015
02-10-2015,EUR,0.8852,02-10-2015
02-10-2015,GBP,0.6568,02-10-2015
02-11-2015,USD,1,02-11-2015
02-11-2015,CAD,1.2611,02-11-2015
02-11-2015,AUD,1.291,02-11-2015
02-11-2015,EUR,0.8839,02-11-2015
02-11-2015,GBP,0.6537,02-11-2015
02-12-2015,USD,1,02-12-2015
02-12-2015,CAD,1.256,02-12-2015
02-12-2015,AUD,1.3031,02-12-2015
02-12-2015,EUR,0.8828,02-12-2015
02-12-2015,GBP,0.6511,02-12-2015
13-02-2015,USD,1,13-02-2015
13-02-2015,CAD,1.2508,13-02-2015
13-02-2015,AUD,1.2907,13-02-2015
13-02-2015,EUR,0.8787,13-02-2015
13-02-2015,GBP,0.6503,13-02-2015
14-02-2015,USD,1,14-02-2015
14-02-2015,CAD,1.2508,14-02-2015
14-02-2015,AUD,1.2907,14-02-2015
14-02-2015,EUR,0.8787,14-02-2015
14-02-2015,GBP,0.6503,14-02-2015
15-02-2015,USD,1,15-02-2015
15-02-2015,CAD,1.2508,15-02-2015
15-02-2015,AUD,1.2907,15-02-2015
15-02-2015,EUR,0.8787,15-02-2015
15-02-2015,GBP,0.6503,15-02-2015
16-02-2015,USD,1,16-02-2015
16-02-2015,CAD,1.2453,16-02-2015
16-02-2015,AUD,1.2859,16-02-2015
16-02-2015,EUR,0.8766,16-02-2015
16-02-2015,GBP,0.6505,16-02-2015
17-02-2015,USD,1,17-02-2015
17-02-2015,CAD,1.2374,17-02-2015
17-02-2015,AUD,1.2784,17-02-2015
17-02-2015,EUR,0.876,17-02-2015
17-02-2015,GBP,0.6512,17-02-2015
18-02-2015,USD,1,18-02-2015
18-02-2015,CAD,1.245,18-02-2015
18-02-2015,AUD,1.2837,18-02-2015
18-02-2015,EUR,0.8794,18-02-2015
18-02-2015,GBP,0.6483,18-02-2015
19-02-2015,USD,1,19-02-2015
19-02-2015,CAD,1.252,19-02-2015
19-02-2015,AUD,1.285,19-02-2015
19-02-2015,EUR,0.8782,19-02-2015
19-02-2015,GBP,0.648,19-02-2015
20-02-2015,USD,1,20-02-2015
20-02-2015,CAD,1.2456,20-02-2015
20-02-2015,AUD,1.2745,20-02-2015
20-02-2015,EUR,0.8851,20-02-2015
20-02-2015,GBP,0.6504,20-02-2015
21-02-2015,USD,1,21-02-2015
21-02-2015,CAD,1.2456,21-02-2015
21-02-2015,AUD,1.2745,21-02-2015
21-02-2015,EUR,0.8851,21-02-2015
21-02-2015,GBP,0.6504,21-02-2015
22-02-2015,USD,1,22-02-2015
22-02-2015,CAD,1.2456,22-02-2015
22-02-2015,AUD,1.2745,22-02-2015
22-02-2015,EUR,0.8851,22-02-2015
22-02-2015,GBP,0.6504,22-02-2015
23-02-2015,USD,1,23-02-2015
23-02-2015,CAD,1.2618,23-02-2015
23-02-2015,AUD,1.2843,23-02-2015
23-02-2015,EUR,0.8851,23-02-2015
23-02-2015,GBP,0.6507,23-02-2015
24-02-2015,USD,1,24-02-2015
24-02-2015,CAD,1.2643,24-02-2015
24-02-2015,AUD,1.2896,24-02-2015
24-02-2015,EUR,0.8828,24-02-2015
24-02-2015,GBP,0.6483,24-02-2015
25-02-2015,USD,1,25-02-2015
25-02-2015,CAD,1.2441,25-02-2015
25-02-2015,AUD,1.2681,25-02-2015
25-02-2015,EUR,0.8814,25-02-2015
25-02-2015,GBP,0.6459,25-02-2015
26-02-2015,USD,1,26-02-2015
26-02-2015,CAD,1.247,26-02-2015
26-02-2015,AUD,1.2686,26-02-2015
26-02-2015,EUR,0.8836,26-02-2015
26-02-2015,GBP,0.6451,26-02-2015
27-02-2015,USD,1,27-02-2015
27-02-2015,CAD,1.2451,27-02-2015
27-02-2015,AUD,1.2774,27-02-2015
27-02-2015,EUR,0.8897,27-02-2015
27-02-2015,GBP,0.6475,27-02-2015
28-02-2015,USD,1,28-02-2015
28-02-2015,CAD,1.2451,28-02-2015
28-02-2015,AUD,1.2774,28-02-2015
28-02-2015,EUR,0.8897,28-02-2015
28-02-2015,GBP,0.6475,28-02-2015
03-01-2015,USD,1,03-01-2015
03-01-2015,CAD,1.2451,03-01-2015
03-01-2015,AUD,1.2774,03-01-2015
03-01-2015,EUR,0.8897,03-01-2015
03-01-2015,GBP,0.6475,03-01-2015
03-02-2015,USD,1,03-02-2015
03-02-2015,CAD,1.2492,03-02-2015
03-02-2015,AUD,1.2856,03-02-2015
03-02-2015,EUR,0.8907,03-02-2015
03-02-2015,GBP,0.6497,03-02-2015
03-03-2015,USD,1,03-03-2015
03-03-2015,CAD,1.2519,03-03-2015
03-03-2015,AUD,1.2794,03-03-2015
03-03-2015,EUR,0.8954,03-03-2015
03-03-2015,GBP,0.6515,03-03-2015
03-04-2015,USD,1,03-04-2015
03-04-2015,CAD,1.2515,03-04-2015
03-04-2015,AUD,1.2757,03-04-2015
03-04-2015,EUR,0.899,03-04-2015
03-04-2015,GBP,0.6526,03-04-2015
03-05-2015,USD,1,03-05-2015
03-05-2015,CAD,1.244,03-05-2015
03-05-2015,AUD,1.2833,03-05-2015
03-05-2015,EUR,0.9034,03-05-2015
03-05-2015,GBP,0.6551,03-05-2015
03-06-2015,USD,1,03-06-2015
03-06-2015,CAD,1.2466,03-06-2015
03-06-2015,AUD,1.2761,03-06-2015
03-06-2015,EUR,0.9122,03-06-2015
03-06-2015,GBP,0.6586,03-06-2015
03-07-2015,USD,1,03-07-2015
03-07-2015,CAD,1.2466,03-07-2015
03-07-2015,AUD,1.2761,03-07-2015
03-07-2015,EUR,0.9122,03-07-2015
03-07-2015,GBP,0.6586,03-07-2015
03-08-2015,USD,1,03-08-2015
03-08-2015,CAD,1.2466,03-08-2015
03-08-2015,AUD,1.2761,03-08-2015
03-08-2015,EUR,0.9122,03-08-2015
03-08-2015,GBP,0.6586,03-08-2015
03-09-2015,USD,1,03-09-2015
03-09-2015,CAD,1.2591,03-09-2015
03-09-2015,AUD,1.2931,03-09-2015
03-09-2015,EUR,0.9208,03-09-2015
03-09-2015,GBP,0.6617,03-09-2015
03-10-2015,USD,1,03-10-2015
03-10-2015,CAD,1.2634,03-10-2015
03-10-2015,AUD,1.3069,03-10-2015
03-10-2015,EUR,0.9313,03-10-2015
03-10-2015,GBP,0.6638,03-10-2015
03-11-2015,USD,1,03-11-2015
03-11-2015,CAD,1.2698,03-11-2015
03-11-2015,AUD,1.314,03-11-2015
03-11-2015,EUR,0.9454,03-11-2015
03-11-2015,GBP,0.6651,03-11-2015
03-12-2015,USD,1,03-12-2015
03-12-2015,CAD,1.2656,03-12-2015
03-12-2015,AUD,1.2976,03-12-2015
03-12-2015,EUR,0.9422,03-12-2015
03-12-2015,GBP,0.6681,03-12-2015
13-03-2015,USD,1,13-03-2015
13-03-2015,CAD,1.2734,13-03-2015
13-03-2015,AUD,1.3053,13-03-2015
13-03-2015,EUR,0.9459,13-03-2015
13-03-2015,GBP,0.6766,13-03-2015
14-03-2015,USD,1,14-03-2015
14-03-2015,CAD,1.2734,14-03-2015
14-03-2015,AUD,1.3053,14-03-2015
14-03-2015,EUR,0.9459,14-03-2015
14-03-2015,GBP,0.6766,14-03-2015
15-03-2015,USD,1,15-03-2015
15-03-2015,CAD,1.2734,15-03-2015
15-03-2015,AUD,1.3053,15-03-2015
15-03-2015,EUR,0.9459,15-03-2015
15-03-2015,GBP,0.6766,15-03-2015
16-03-2015,USD,1,16-03-2015
16-03-2015,CAD,1.2781,16-03-2015
16-03-2015,AUD,1.3069,16-03-2015
16-03-2015,EUR,0.9472,16-03-2015
16-03-2015,GBP,0.6755,16-03-2015
17-03-2015,USD,1,17-03-2015
17-03-2015,CAD,1.2774,17-03-2015
17-03-2015,AUD,1.3083,17-03-2015
17-03-2015,EUR,0.9403,17-03-2015
17-03-2015,GBP,0.677,17-03-2015
18-03-2015,USD,1,18-03-2015
18-03-2015,CAD,1.2824,18-03-2015
18-03-2015,AUD,1.3124,18-03-2015
18-03-2015,EUR,0.9441,18-03-2015
18-03-2015,GBP,0.6826,18-03-2015
19-03-2015,USD,1,19-03-2015
19-03-2015,CAD,1.2717,19-03-2015
19-03-2015,AUD,1.308,19-03-2015
19-03-2015,EUR,0.9366,19-03-2015
19-03-2015,GBP,0.6728,19-03-2015
20-03-2015,USD,1,20-03-2015
20-03-2015,CAD,1.2672,20-03-2015
20-03-2015,AUD,1.2981,20-03-2015
20-03-2015,EUR,0.928,20-03-2015
20-03-2015,GBP,0.6733,20-03-2015
21-03-2015,USD,1,21-03-2015
21-03-2015,CAD,1.2672,21-03-2015
21-03-2015,AUD,1.2981,21-03-2015
21-03-2015,EUR,0.928,21-03-2015
21-03-2015,GBP,0.6733,21-03-2015
22-03-2015,USD,1,22-03-2015
22-03-2015,CAD,1.2672,22-03-2015
22-03-2015,AUD,1.2981,22-03-2015
22-03-2015,EUR,0.928,22-03-2015
22-03-2015,GBP,0.6733,22-03-2015
23-03-2015,USD,1,23-03-2015
23-03-2015,CAD,1.2525,23-03-2015
23-03-2015,AUD,1.2773,23-03-2015
23-03-2015,EUR,0.9164,23-03-2015
23-03-2015,GBP,0.6706,23-03-2015
24-03-2015,USD,1,24-03-2015
24-03-2015,CAD,1.2465,24-03-2015
24-03-2015,AUD,1.2642,24-03-2015
24-03-2015,EUR,0.9132,24-03-2015
24-03-2015,GBP,0.6707,24-03-2015
25-03-2015,USD,1,25-03-2015
25-03-2015,CAD,1.2482,25-03-2015
25-03-2015,AUD,1.2676,25-03-2015
25-03-2015,EUR,0.9103,25-03-2015
25-03-2015,GBP,0.6705,25-03-2015
26-03-2015,USD,1,26-03-2015
26-03-2015,CAD,1.2442,26-03-2015
26-03-2015,AUD,1.2749,26-03-2015
26-03-2015,EUR,0.9113,26-03-2015
26-03-2015,GBP,0.6717,26-03-2015
27-03-2015,USD,1,27-03-2015
27-03-2015,CAD,1.2509,27-03-2015
27-03-2015,AUD,1.2841,27-03-2015
27-03-2015,EUR,0.9211,27-03-2015
27-03-2015,GBP,0.6723,27-03-2015
28-03-2015,USD,1,28-03-2015
28-03-2015,CAD,1.2509,28-03-2015
28-03-2015,AUD,1.2841,28-03-2015
28-03-2015,EUR,0.9211,28-03-2015
28-03-2015,GBP,0.6723,28-03-2015
29-03-2015,USD,1,29-03-2015
29-03-2015,CAD,1.2509,29-03-2015
29-03-2015,AUD,1.2841,29-03-2015
29-03-2015,EUR,0.9211,29-03-2015
29-03-2015,GBP,0.6723,29-03-2015
30-03-2015,USD,1,30-03-2015
30-03-2015,CAD,1.2641,30-03-2015
30-03-2015,AUD,1.3055,30-03-2015
30-03-2015,EUR,0.9221,30-03-2015
30-03-2015,GBP,0.6757,30-03-2015
31-03-2015,USD,1,31-03-2015
31-03-2015,CAD,1.2769,31-03-2015
31-03-2015,AUD,1.3155,31-03-2015
31-03-2015,EUR,0.9295,31-03-2015
31-03-2015,GBP,0.676,31-03-2015
04-01-2015,USD,1,04-01-2015
04-01-2015,CAD,1.2675,04-01-2015
04-01-2015,AUD,1.3159,04-01-2015
04-01-2015,EUR,0.9298,04-01-2015
04-01-2015,GBP,0.6774,04-01-2015
04-02-2015,USD,1,04-02-2015
04-02-2015,CAD,1.2644,04-02-2015
04-02-2015,AUD,1.3244,04-02-2015
04-02-2015,EUR,0.9234,04-02-2015
04-02-2015,GBP,0.6755,04-02-2015
04-03-2015,USD,1,04-03-2015
04-03-2015,CAD,1.2644,04-03-2015
04-03-2015,AUD,1.3244,04-03-2015
04-03-2015,EUR,0.9234,04-03-2015
04-03-2015,GBP,0.6755,04-03-2015
04-04-2015,USD,1,04-04-2015
04-04-2015,CAD,1.2644,04-04-2015
04-04-2015,AUD,1.3244,04-04-2015
04-04-2015,EUR,0.9234,04-04-2015
04-04-2015,GBP,0.6755,04-04-2015
04-05-2015,USD,1,04-05-2015
04-05-2015,CAD,1.2644,04-05-2015
04-05-2015,AUD,1.3244,04-05-2015
04-05-2015,EUR,0.9234,04-05-2015
04-05-2015,GBP,0.6755,04-05-2015
04-06-2015,USD,1,04-06-2015
04-06-2015,CAD,1.2644,04-06-2015
04-06-2015,AUD,1.3244,04-06-2015
04-06-2015,EUR,0.9234,04-06-2015
04-06-2015,GBP,0.6755,04-06-2015
04-07-2015,USD,1,04-07-2015
04-07-2015,CAD,1.2504,04-07-2015
04-07-2015,AUD,1.3084,04-07-2015
04-07-2015,EUR,0.9219,04-07-2015
04-07-2015,GBP,0.6717,04-07-2015
04-08-2015,USD,1,04-08-2015
04-08-2015,CAD,1.2417,04-08-2015
04-08-2015,AUD,1.2961,04-08-2015
04-08-2015,EUR,0.9206,04-08-2015
04-08-2015,GBP,0.6688,04-08-2015
04-09-2015,USD,1,04-09-2015
04-09-2015,CAD,1.2524,04-09-2015
04-09-2015,AUD,1.2949,04-09-2015
04-09-2015,EUR,0.9282,04-09-2015
04-09-2015,GBP,0.6746,04-09-2015
04-10-2015,USD,1,04-10-2015
04-10-2015,CAD,1.2664,04-10-2015
04-10-2015,AUD,1.3079,04-10-2015
04-10-2015,EUR,0.9461,04-10-2015
04-10-2015,GBP,0.6853,04-10-2015
04-11-2015,USD,1,04-11-2015
04-11-2015,CAD,1.2664,04-11-2015
04-11-2015,AUD,1.3079,04-11-2015
04-11-2015,EUR,0.9461,04-11-2015
04-11-2015,GBP,0.6853,04-11-2015
04-12-2015,USD,1,04-12-2015
04-12-2015,CAD,1.2664,04-12-2015
04-12-2015,AUD,1.3079,04-12-2015
04-12-2015,EUR,0.9461,04-12-2015
04-12-2015,GBP,0.6853,04-12-2015
13-04-2015,USD,1,13-04-2015
13-04-2015,CAD,1.2627,13-04-2015
13-04-2015,AUD,1.3197,13-04-2015
13-04-2015,EUR,0.9477,13-04-2015
13-04-2015,GBP,0.6838,13-04-2015
14-04-2015,USD,1,14-04-2015
14-04-2015,CAD,1.2582,14-04-2015
14-04-2015,AUD,1.3192,14-04-2015
14-04-2015,EUR,0.9466,14-04-2015
14-04-2015,GBP,0.6832,14-04-2015
15-04-2015,USD,1,15-04-2015
15-04-2015,CAD,1.255,15-04-2015
15-04-2015,AUD,1.3182,15-04-2015
15-04-2015,EUR,0.9453,15-04-2015
15-04-2015,GBP,0.6776,15-04-2015
16-04-2015,USD,1,16-04-2015
16-04-2015,CAD,1.2305,16-04-2015
16-04-2015,AUD,1.2875,16-04-2015
16-04-2015,EUR,0.9336,16-04-2015
16-04-2015,GBP,0.6712,16-04-2015
17-04-2015,USD,1,17-04-2015
17-04-2015,CAD,1.2191,17-04-2015
17-04-2015,AUD,1.28,17-04-2015
17-04-2015,EUR,0.9247,17-04-2015
17-04-2015,GBP,0.6657,17-04-2015
18-04-2015,USD,1,18-04-2015
18-04-2015,CAD,1.2191,18-04-2015
18-04-2015,AUD,1.28,18-04-2015
18-04-2015,EUR,0.9247,18-04-2015
18-04-2015,GBP,0.6657,18-04-2015
19-04-2015,USD,1,19-04-2015
19-04-2015,CAD,1.2191,19-04-2015
19-04-2015,AUD,1.28,19-04-2015
19-04-2015,EUR,0.9247,19-04-2015
19-04-2015,GBP,0.6657,19-04-2015
20-04-2015,USD,1,20-04-2015
20-04-2015,CAD,1.2252,20-04-2015
20-04-2015,AUD,1.2891,20-04-2015
20-04-2015,EUR,0.9326,20-04-2015
20-04-2015,GBP,0.671,20-04-2015
21-04-2015,USD,1,21-04-2015
21-04-2015,CAD,1.2229,21-04-2015
21-04-2015,AUD,1.2917,21-04-2015
21-04-2015,EUR,0.9346,21-04-2015
21-04-2015,GBP,0.6717,21-04-2015
22-04-2015,USD,1,22-04-2015
22-04-2015,CAD,1.2242,22-04-2015
22-04-2015,AUD,1.2842,22-04-2015
22-04-2015,EUR,0.9308,22-04-2015
22-04-2015,GBP,0.6636,22-04-2015
23-04-2015,USD,1,23-04-2015
23-04-2015,CAD,1.2226,23-04-2015
23-04-2015,AUD,1.2938,23-04-2015
23-04-2015,EUR,0.9283,23-04-2015
23-04-2015,GBP,0.6656,23-04-2015
24-04-2015,USD,1,24-04-2015
24-04-2015,CAD,1.2119,24-04-2015
24-04-2015,AUD,1.2827,24-04-2015
24-04-2015,EUR,0.9239,24-04-2015
24-04-2015,GBP,0.6614,24-04-2015
25-04-2015,USD,1,25-04-2015
25-04-2015,CAD,1.2119,25-04-2015
25-04-2015,AUD,1.2827,25-04-2015
25-04-2015,EUR,0.9239,25-04-2015
25-04-2015,GBP,0.6614,25-04-2015
26-04-2015,USD,1,26-04-2015
26-04-2015,CAD,1.2119,26-04-2015
26-04-2015,AUD,1.2827,26-04-2015
26-04-2015,EUR,0.9239,26-04-2015
26-04-2015,GBP,0.6614,26-04-2015
27-04-2015,USD,1,27-04-2015
27-04-2015,CAD,1.2156,27-04-2015
27-04-2015,AUD,1.2814,27-04-2015
27-04-2015,EUR,0.924,27-04-2015
27-04-2015,GBP,0.6618,27-04-2015
28-04-2015,USD,1,28-04-2015
28-04-2015,CAD,1.2069,28-04-2015
28-04-2015,AUD,1.2585,28-04-2015
28-04-2015,EUR,0.9152,28-04-2015
28-04-2015,GBP,0.6543,28-04-2015
29-04-2015,USD,1,29-04-2015
29-04-2015,CAD,1.2054,29-04-2015
29-04-2015,AUD,1.2509,29-04-2015
29-04-2015,EUR,0.9089,29-04-2015
29-04-2015,GBP,0.6509,29-04-2015
30-04-2015,USD,1,30-04-2015
30-04-2015,CAD,1.202,30-04-2015
30-04-2015,AUD,1.2627,30-04-2015
30-04-2015,EUR,0.8917,30-04-2015
30-04-2015,GBP,0.648,30-04-2015
05-01-2015,USD,1,05-01-2015
05-01-2015,CAD,1.202,05-01-2015
05-01-2015,AUD,1.2627,05-01-2015
05-01-2015,EUR,0.8917,05-01-2015
05-01-2015,GBP,0.648,05-01-2015
05-02-2015,USD,1,05-02-2015
05-02-2015,CAD,1.202,05-02-2015
05-02-2015,AUD,1.2627,05-02-2015
05-02-2015,EUR,0.8917,05-02-2015
05-02-2015,GBP,0.648,05-02-2015
05-03-2015,USD,1,05-03-2015
05-03-2015,CAD,1.202,05-03-2015
05-03-2015,AUD,1.2627,05-03-2015
05-03-2015,EUR,0.8917,05-03-2015
05-03-2015,GBP,0.648,05-03-2015
05-04-2015,USD,1,05-04-2015
05-04-2015,CAD,1.2116,05-04-2015
05-04-2015,AUD,1.2756,05-04-2015
05-04-2015,EUR,0.8967,05-04-2015
05-04-2015,GBP,0.6617,05-04-2015
05-05-2015,USD,1,05-05-2015
05-05-2015,CAD,1.209,05-05-2015
05-05-2015,AUD,1.27,05-05-2015
05-05-2015,EUR,0.8995,05-05-2015
05-05-2015,GBP,0.6611,05-05-2015
05-06-2015,USD,1,05-06-2015
05-06-2015,CAD,1.201,05-06-2015
05-06-2015,AUD,1.2493,05-06-2015
05-06-2015,EUR,0.8905,05-06-2015
05-06-2015,GBP,0.6568,05-06-2015
05-07-2015,USD,1,05-07-2015
